"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops"
"111160101",2019,1,0,0,0,1,32,0
"111160102",2009,0,2,0,0,2,42,0
"111160104",2019,2,4,2,0,3,25,0
"111160105",2009,0,0,0,0,0,23,0
"111160106",2019,4,4,0,0,2,101,0
"111160108",2009,3,4,0,0,6,40,0
"111160109",2019,1,5,3,0,4,25,0
"111160113",2009,0,0,0,0,0,31,0
"111160115",2019,4,3,8,0,2,100,0
"111160121",2009,5,2,4,4,17,55,0
"111160122",2019,3,2,3,2,2,33,0
"111160123",2009,3,2,4,1,3,27,0
"111160124",2019,3,1,2,0,3,29,1
"111160125",2009,0,0,0,0,0,46,0
"111160128",2019,1,7,0,0,1,50,0
"111160130",2009,2,2,2,0,4,101,0
"111160131",2019,0,2,3,0,7,42,0
"111160133",2009,1,0,2,0,3,48,0
"111160142",2019,5,3,2,1,2,30,0
"111160144",2009,1,0,1,0,1,52,0
"111160145",2019,1,1,1,0,2,63,0
"111160146",2009,0,0,1,0,0,117,0
"111160149",2019,2,3,1,0,4,80,0
"111160152",2009,1,0,3,0,1,56,0
"111160153",2019,3,4,3,1,4,39,0
"111160154",2009,0,3,0,0,1,24,0
"111160155",2019,1,0,0,0,1,43,0
"111160156",2009,0,3,1,0,2,68,0
"111160157",2019,13,5,14,3,19,49,0
"111160158",2009,8,9,7,2,8,55,0
"111160159",2019,6,7,4,6,10,49,0
"111160160",2009,0,0,0,0,2,65,0
"111160161",2019,1,7,1,0,2,75,0
"111160162",2009,2,4,4,0,12,49,0
"111160163",2019,18,9,14,2,9,100,0
"111160164",2009,1,5,2,0,4,76,1
"1111602",2019,35,34,69,6,21,203,0
"111160201",2009,5,1,7,0,0,12,0
"111160205",2019,1,2,1,0,3,25,0
"111160209",2009,2,15,4,1,1,29,0
"111160211",2019,0,0,0,1,1,6,0
"111160214",2009,8,9,13,0,3,36,0
"111160215",2019,1,2,2,0,1,5,0
"111160217",2009,1,0,1,0,1,14,0
"111160218",2019,6,3,7,1,4,17,0
"111160220",2009,1,1,3,0,0,9,0
"111160221",2019,1,12,2,0,2,35,0
"111160222",2009,4,0,8,0,2,13,0
"111160223",2019,3,1,2,2,2,30,0
"111160224",2009,1,0,2,0,2,6,0
"111160225",2019,2,1,17,2,3,47,0
"1111603",2019,21,1,35,3,18,736,0
"111160301",2019,2,0,0,0,0,111,0
"111160304",2009,1,0,1,0,1,28,0
"111160305",2019,0,0,0,0,0,30,0
"111160307",2009,0,0,0,0,2,13,0
"111160308",2019,0,0,0,0,4,34,0
"111160311",2009,3,0,4,1,1,158,0
"111160313",2019,0,0,0,0,2,71,0
"111160317",2009,3,0,3,0,0,67,0
"111160319",2019,1,1,3,1,4,23,0
"111160320",2009,1,0,2,0,1,66,0
"111160321",2019,1,0,1,1,0,55,0
"111160322",2009,1,0,10,0,1,83,0
"111160323",2019,8,0,11,2,2,90,0
"1111604",2019,25,9,47,5,29,1551,0
"111160401",2019,0,0,0,0,0,38,0
"111160404",2009,2,0,5,0,1,97,0
"111160405",2019,0,1,0,0,0,48,0
"111160406",2009,0,0,1,0,0,67,0
"111160407",2019,0,1,2,0,0,47,0
"111160410",2009,0,3,3,3,2,57,0
"111160411",2019,0,2,2,0,1,118,0
"111160415",2009,2,0,3,2,2,210,0
"111160418",2019,0,1,0,1,0,72,0
"111160420",2009,0,1,4,3,1,122,0
"111160421",2019,0,0,0,0,0,53,0
"111160422",2009,0,0,0,0,0,50,0
"111160423",2019,0,0,0,0,1,43,0
"111160424",2009,4,0,6,0,15,133,0
"111160427",2019,1,0,0,0,0,60,0
"111160428",2009,2,0,1,1,5,160,0
"111160431",2019,0,0,0,0,0,39,0
"111160434",2009,0,0,1,0,0,72,0
"111160435",2019,0,0,2,0,0,94,0
"111160436",2009,18,2,16,0,3,138,0
"111160437",2019,0,0,1,0,0,96,0
"111160438",2009,1,1,4,2,3,76,0
"111160439",2019,0,2,1,0,0,89,0
"111160440",2009,0,0,0,0,1,40,0
"1111605",2019,19,3,54,7,22,247,1
"111160501",2009,2,0,1,1,1,35,0
"111160503",2019,2,0,2,0,0,6,0
"111160505",2009,0,0,0,1,1,46,0
"111160507",2019,0,0,1,0,0,20,0
"111160510",2009,1,0,7,0,4,31,0
"111160513",2019,1,0,2,1,0,5,0
"111160514",2009,2,0,2,1,1,25,0
"111160515",2019,3,1,5,0,3,12,0
"111160519",2009,1,1,1,1,1,30,1
"111160520",2019,0,0,5,5,3,53,0
"111160521",2009,0,0,0,0,0,4,0
"111160522",2019,1,0,2,1,6,32,0
"111160523",2009,3,0,9,1,2,53,0
"111160524",2019,6,1,17,1,8,59,0
"111160525",2009,2,1,6,1,1,45,0
"111160526",2019,1,0,4,2,0,26,0
"1111606",2019,20,47,34,10,51,602,0
"111160601",2019,0,1,1,0,2,55,0
"111160602",2009,0,2,0,1,3,48,0
"111160603",2019,5,10,7,1,7,55,0
"111160604",2009,3,0,2,1,0,26,0
"111160606",2019,1,1,2,0,0,26,0
"111160611",2009,3,31,5,3,8,86,0
"111160612",2019,0,0,1,0,3,46,0
"111160613",2009,2,0,2,0,2,20,0
"111160614",2019,3,2,2,1,6,30,0
"111160619",2009,0,1,1,0,3,45,0
"111160623",2019,1,0,1,0,0,15,0
"111160624",2009,1,0,4,0,4,15,0
"111160626",2019,2,4,4,1,7,88,0
"111160627",2009,2,0,1,0,1,41,0
"111160628",2019,8,2,9,3,7,89,0
"111160629",2009,2,3,2,0,4,29,0
"111160630",2019,0,2,0,0,0,46,0
"1111607",2019,464,730,477,58,466,2012,4
"111160701",2019,12,31,11,4,7,81,1
"111160703",2009,2,24,2,1,4,76,1
"111160704",2019,19,23,22,3,11,88,0
"111160707",2009,9,43,6,2,18,77,0
"111160708",2019,1,6,2,0,1,21,0
"111160709",2009,0,1,1,0,5,12,0
"111160710",2019,8,6,9,3,6,26,0
"111160713",2009,31,25,23,3,20,82,0
"111160714",2019,16,15,15,6,6,61,1
"111160716",2009,18,67,14,3,6,178,0
"111160717",2019,8,36,9,0,13,59,1
"111160718",2009,26,52,25,3,26,91,0
"111160719",2019,3,10,5,0,1,24,1
"111160721",2009,15,26,13,2,1,52,0
"111160724",2019,7,19,5,1,3,48,0
"111160726",2009,33,39,20,4,17,63,0
"111160727",2019,6,14,9,0,9,54,0
"111160728",2009,6,29,4,0,16,55,0
"111160729",2019,2,7,2,0,4,28,0
"111160734",2009,9,15,32,1,5,69,0
"111160737",2019,39,44,30,8,53,169,0
"111160739",2009,54,47,65,5,34,90,0
"111160740",2019,7,15,9,0,5,28,0
"111160742",2009,6,5,3,0,1,16,0
"111160743",2019,18,24,16,2,10,33,0
"111160744",2009,16,30,19,0,14,70,0
"111160745",2019,5,16,6,1,4,26,0
"111160746",2009,4,15,2,0,10,50,0
"111160747",2019,33,44,37,3,44,73,0
"111160750",2009,20,12,18,0,3,44,0
"111160752",2019,9,9,13,3,7,22,0
"111160753",2009,13,22,36,1,15,120,0
"111160754",2019,21,11,27,2,22,95,0
