"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops"
"111160101",2019,8,1,19,12,1,0,0,0,0,0
"111160102",2019,24,0,19,29,3,0,0,0,0,0
"111160104",2019,15,0,14,15,1,0,0,0,0,1
"111160105",2019,2,0,0,2,1,0,0,0,0,0
"111160106",2019,32,7,30,43,2,0,0,0,0,0
"111160108",2019,10,0,3,37,2,0,0,0,0,0
"111160109",2009,11,2,9,18,1,0,0,0,0,2
"111160113",2009,10,2,4,11,3,0,0,0,0,0
"111160115",2019,41,3,37,64,4,0,2,2,0,1
"111160121",2019,10,1,62,18,2,0,0,0,0,0
"111160122",2019,12,0,22,13,1,0,0,0,0,1
"111160123",2019,20,3,9,26,1,0,0,1,1,0
"111160124",2019,11,0,10,26,1,0,0,0,0,0
"111160125",2009,6,1,45,100,1,0,0,0,0,0
"111160128",2009,22,0,14,27,2,0,0,0,0,0
"111160130",2009,24,4,135,33,3,0,0,0,0,1
"111160131",2019,20,1,49,22,2,0,0,0,0,0
"111160133",2019,16,3,29,32,1,0,0,0,0,3
"111160142",2009,14,1,1,30,2,0,0,0,0,0
"111160144",2019,11,1,62,15,2,0,0,0,0,0
"111160145",2019,17,3,26,21,1,0,0,0,0,0
"111160146",2019,13,1,9,14,3,0,0,0,0,0
"111160149",2019,46,2,36,55,6,0,0,0,0,0
"111160152",2009,15,1,30,19,1,0,0,0,0,2
"111160153",2019,11,2,20,19,2,0,0,2,0,0
"111160154",2019,10,0,25,10,1,0,0,0,0,0
"111160155",2009,17,1,30,28,1,0,0,0,0,1
"111160156",2019,28,4,27,31,4,0,0,1,0,0
"111160157",2019,17,2,14,29,3,0,0,0,0,0
"111160158",2019,26,0,3,55,2,0,0,1,0,0
"111160159",2019,10,1,15,33,1,0,0,0,0,0
"111160160",2009,17,1,23,23,0,0,0,0,0,2
"111160161",2019,30,2,34,39,5,0,0,0,0,0
"111160162",2019,27,1,25,35,4,0,0,0,0,0
"111160163",2009,37,1,35,45,3,0,0,1,0,0
"111160164",2019,27,2,20,51,2,0,0,0,0,3
"1111602",2019,118,4,34,110,11,0,0,3,17,3
"111160201",2009,10,0,2,10,1,0,0,0,1,0
"111160205",2019,15,1,5,29,1,0,0,0,0,0
"111160209",2009,11,1,3,14,2,0,0,0,0,0
"111160211",2009,2,0,0,6,1,0,0,0,0,0
"111160214",2009,33,0,7,31,2,0,0,2,0,0
"111160215",2019,4,0,1,4,0,0,0,0,0,0
"111160217",2019,17,1,0,15,1,0,0,0,3,0
"111160218",2009,22,0,18,34,1,0,0,0,1,0
"111160220",2019,5,0,1,9,1,0,0,0,14,3
"111160221",2009,14,1,4,17,2,0,0,0,0,0
"111160222",2009,9,0,8,10,1,0,0,1,0,0
"111160223",2009,32,1,17,63,2,0,0,0,0,0
"111160224",2019,12,0,7,9,1,0,0,0,0,0
"111160225",2009,37,2,7,49,2,0,0,1,1,0
"1111603",2019,43,1,11,29,11,0,0,1,0,0
