"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops"
"111160101",1999,0,0,0,0,0,14,0
"111160102",1999,0,0,0,0,0,20,0
"111160104",1999,0,0,0,0,0,8,0
"111160105",1999,0,0,0,0,0,6,0
"111160106",1999,0,0,0,0,0,17,0
"111160108",1999,0,0,0,0,0,17,0
"111160109",1999,0,0,0,0,0,14,0
"111160113",1999,0,0,0,0,0,4,0
"111160115",1999,0,0,0,0,0,39,0
"111160121",1999,0,0,0,0,1,9,0
"111160122",1999,0,0,1,0,1,13,0
"111160123",1999,1,0,0,2,1,13,0
"111160124",1999,0,1,1,0,2,39,7
"111160125",1999,0,0,0,0,0,4,0
"111160128",1999,0,0,0,0,0,19,0
"111160130",1999,0,0,0,0,1,20,0
"111160131",1999,0,0,0,0,0,18,0
"111160133",1999,0,0,0,0,0,24,0
"111160142",1999,0,0,0,0,0,35,0
"111160144",1999,0,0,0,0,0,5,0
"111160145",1999,0,0,0,0,0,7,0
"111160146",1999,0,0,1,0,0,31,0
"111160149",1999,0,0,0,0,1,22,0
"111160152",1999,0,0,0,0,0,20,0
"111160153",1999,1,1,0,0,2,38,0
"111160154",1999,0,0,0,0,6,10,4
"111160155",1999,0,0,0,0,0,13,0
"111160156",1999,0,1,0,0,0,17,0
"111160157",1999,0,1,2,0,2,24,0
"111160158",1999,0,2,0,0,0,44,0
"111160159",1999,0,1,1,0,0,36,0
"111160160",1999,0,0,0,0,0,8,0
"111160161",1999,1,0,0,0,0,42,0
"111160162",1999,1,2,0,0,1,27,0
"111160163",1999,1,1,0,2,1,74,0
"111160164",1999,0,0,0,0,0,49,0
"111160201",1999,0,0,1,0,0,4,0
"111160205",1999,0,0,0,0,0,5,0
"111160209",1999,0,2,0,0,0,6,0
"111160211",1999,0,0,0,0,3,3,0
"111160214",1999,0,0,1,0,0,10,0
"111160215",1999,0,0,1,0,0,4,0
"111160217",1999,0,0,0,0,0,2,0
"111160218",1999,1,0,2,0,0,9,0
"111160220",1999,0,0,0,0,0,1,0
"111160221",1999,0,2,0,0,0,7,0
"111160222",1999,0,0,0,0,0,8,0
"111160223",1999,0,1,0,0,0,9,0
"111160224",1999,0,0,0,0,0,2,0
"111160225",1999,1,0,1,0,0,12,0
"111160301",1999,0,0,0,0,0,88,0
"111160304",1999,0,0,0,0,0,11,0
"111160305",1999,0,0,0,0,0,10,0
"111160307",1999,0,0,0,0,0,5,0
"111160308",1999,0,0,0,0,0,4,0
"111160311",1999,0,0,0,0,0,137,0
"111160313",1999,0,0,0,0,0,56,0
"111160317",1999,0,0,0,0,0,31,0
"111160319",1999,0,0,0,0,0,1,0
"111160320",1999,0,0,0,0,0,45,0
"111160321",1999,0,0,0,0,0,12,0
"111160322",1999,0,0,0,0,0,57,0
"111160323",1999,0,0,0,0,2,39,0
"111160401",1999,0,0,0,0,0,15,0
"111160404",1999,0,0,0,0,0,64,0
"111160405",1999,0,0,0,0,0,17,0
"111160406",1999,0,0,0,0,0,32,0
"111160407",1999,0,0,0,0,0,20,0
"111160410",1999,0,0,0,0,0,40,0
"111160411",1999,0,0,0,0,0,61,0
"111160415",1999,0,0,0,1,0,57,0
"111160418",1999,0,0,0,0,0,59,0
"111160420",1999,0,0,0,0,0,112,0
"111160421",1999,0,0,0,0,0,65,0
"111160422",1999,0,0,0,0,0,12,0
"111160423",1999,0,0,0,0,0,18,0
"111160424",1999,0,0,0,0,0,24,0
"111160427",1999,0,0,0,0,0,28,0
"111160428",1999,0,0,0,0,0,44,0
"111160431",1999,0,0,0,0,0,13,0
"111160434",1999,0,0,0,0,0,5,0
"111160435",1999,0,0,0,0,0,43,0
"111160436",1999,0,0,0,0,0,130,0
"111160437",1999,0,0,0,0,0,65,0
"111160438",1999,0,0,0,2,0,108,0
"111160439",1999,0,0,0,0,0,25,0
"111160440",1999,0,0,0,0,0,27,0
"111160501",1999,0,0,0,0,0,3,0
"111160503",1999,0,0,0,0,0,1,0
"111160505",1999,0,0,0,0,0,7,0
"111160507",1999,0,0,0,0,0,1,0
"111160510",1999,0,0,0,0,0,2,0
"111160513",1999,0,0,0,0,0,3,0
"111160514",1999,0,0,0,0,0,6,0
"111160515",1999,0,0,0,0,0,2,0
"111160519",1999,0,0,0,0,0,3,31
"111160520",1999,0,0,0,0,1,7,0
"111160521",1999,0,0,0,0,0,1,0
"111160522",1999,0,0,0,1,0,3,0
"111160523",1999,0,0,0,0,0,6,0
"111160524",1999,0,0,0,0,2,13,0
"111160525",1999,0,0,0,0,6,3,0
"111160526",1999,0,0,2,0,0,3,4
"111160601",1999,0,1,0,0,0,10,0
"111160602",1999,0,1,0,0,0,10,0
"111160603",1999,0,1,0,0,1,40,0
"111160604",1999,0,0,0,0,0,6,0
"111160606",1999,0,0,3,0,0,14,0
"111160611",1999,0,2,1,1,0,39,0
"111160612",1999,0,0,0,0,0,16,0
"111160613",1999,0,0,0,0,4,13,0
"111160614",1999,0,1,0,0,2,41,0
"111160619",1999,0,0,0,0,0,9,0
"111160623",1999,0,0,0,0,0,10,0
"111160624",1999,0,1,0,0,0,9,0
"111160626",1999,0,1,0,0,1,30,0
"111160627",1999,0,0,0,0,1,13,0
"111160628",1999,0,1,0,1,4,74,0
"111160629",1999,0,0,0,0,1,11,0
"111160630",1999,0,1,0,0,0,15,0
"111160701",1999,0,0,2,0,0,21,0
"111160703",1999,0,1,0,0,0,40,0
"111160704",1999,1,1,4,0,2,90,0
"111160707",1999,0,2,0,0,1,25,0
"111160708",1999,0,0,0,0,0,22,0
"111160709",1999,0,0,0,0,0,1,0
"111160710",1999,0,0,1,0,0,53,0
"111160713",1999,2,1,2,0,1,60,0
"111160714",1999,1,1,24,0,0,97,0
"111160716",1999,0,7,6,0,2,87,0
"111160717",1999,0,0,0,0,1,34,0
"111160718",1999,4,4,14,1,2,56,0
"111160719",1999,0,0,0,2,0,28,0
"111160721",1999,0,0,0,0,0,35,0
"111160724",1999,0,0,0,2,1,15,0
"111160726",1999,0,1,0,0,2,47,0
"111160727",1999,1,2,1,0,1,30,0
"111160728",1999,1,1,0,1,0,54,0
"111160729",1999,1,0,0,0,0,14,0
"111160734",1999,0,2,5,1,0,32,0
"111160737",1999,1,4,2,4,1,148,0
"111160739",1999,1,4,3,0,2,39,0
"111160740",1999,0,0,0,0,0,11,0
"111160742",1999,1,0,0,0,0,23,0
"111160743",1999,0,1,0,0,0,27,0
"111160744",1999,0,2,0,0,0,18,0
"111160745",1999,0,1,3,3,0,22,0
"111160746",1999,0,0,0,0,0,12,0
"111160747",1999,2,1,5,3,2,25,0
"111160750",1999,0,2,0,0,0,26,0
"111160752",1999,2,1,2,2,0,31,0
"111160753",1999,1,2,7,0,0,59,0
"111160754",1999,0,0,24,0,7,54,0
"111160755",1999,1,0,0,0,1,49,0
"111160756",1999,0,0,0,1,0,32,0
"111160757",1999,1,3,6,0,0,68,0
"111160758",1999,0,3,4,1,6,73,0
"111160759",1999,0,0,0,0,0,7,0
"111160760",1999,1,2,1,0,0,42,0
"111160802",1999,0,0,0,0,0,8,0
"111160803",1999,0,0,0,1,0,20,0
"111160805",1999,0,0,0,1,1,32,0
"111160806",1999,0,0,0,1,0,12,0
"111160808",1999,0,0,1,0,0,26,0
"111160812",1999,0,0,0,23,0,10,0
"111160816",1999,0,0,0,0,0,17,0
"111160817",1999,0,0,0,0,0,10,0
"111160818",1999,0,0,0,0,0,21,0
"111160819",1999,0,0,0,0,0,29,0
"111160820",1999,0,0,0,0,0,18,0
"111160901",1999,0,0,0,0,0,2,0
"111160902",1999,0,0,3,0,4,25,0
"111160903",1999,0,1,0,0,0,7,0
"111160904",1999,0,0,0,0,0,16,0
"111160905",1999,0,0,0,0,0,1,0
"111160908",1999,0,0,0,0,0,3,0
"111160910",1999,0,0,0,0,0,4,0
"111160911",1999,0,0,1,0,0,7,0
"111160914",1999,0,0,0,0,0,11,0
"111160915",1999,0,2,1,0,0,26,0
"111160920",1999,0,5,0,0,0,9,0
"111160922",1999,0,0,1,0,0,20,1
"111160923",1999,0,0,0,2,0,5,0
"111160925",1999,0,1,0,0,0,34,0
"111160926",1999,2,2,3,0,0,56,0
"111160928",1999,3,5,2,0,1,53,0
"111160935",1999,1,1,2,0,0,20,0
