"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"111160101",2009,0,0,0,0,0,9,0,Aboim das Choças
"111160102",2009,0,0,0,0,0,17,0,Aguiã
"111160104",2009,0,0,0,0,0,5,0,Ázere
"111160105",2009,0,0,0,0,0,1,0,Cabana Maior
"111160106",2009,0,0,0,0,0,7,0,Cabreiro
"111160108",2009,0,0,0,0,2,11,0,Cendufe
"111160109",2009,0,0,0,0,0,3,0,Couto
"111160113",2009,0,0,0,0,0,1,0,Gavieira
"111160115",2009,0,0,0,0,0,17,0,Gondoriz
"111160121",2009,0,0,0,0,1,4,0,Miranda
"111160122",2009,0,0,0,0,0,7,0,Monte Redondo
"111160123",2009,0,0,0,0,0,14,0,Oliveira
"111160124",2009,0,0,0,0,0,44,7,Paçô
"111160125",2009,0,0,0,0,0,3,0,Padroso
"111160128",2009,0,0,0,0,0,8,0,Prozelo
"111160130",2009,0,0,0,0,0,9,0,Rio Frio
"111160131",2009,0,0,0,0,0,6,0,Rio de Moinhos
"111160133",2009,0,0,0,0,0,7,0,Sabadim
"111160142",2009,1,0,0,0,0,11,0,Jolda (São Paio)
"111160144",2009,0,0,0,0,0,4,0,Senharei
"111160145",2009,0,0,0,0,0,3,0,Sistelo
"111160146",2009,0,0,0,0,0,10,0,Soajo
"111160149",2009,0,1,0,0,0,18,0,Vale
"111160152",2009,0,0,0,0,0,10,0,União das freguesias de Alvora e Loureda
"111160153",2009,0,1,0,0,0,32,0,União das freguesias de Arcos de Valdevez (São Paio) e Giela
"111160154",2009,0,0,0,0,0,3,0,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada"
"111160155",2009,0,0,0,0,0,7,0,União das freguesias de Eiras e Mei
"111160156",2009,0,0,0,0,0,9,0,União das freguesias de Grade e Carralcova
"111160157",2009,1,0,2,0,2,16,0,União das freguesias de Guilhadeses e Santar
"111160158",2009,1,1,1,0,2,18,0,União das freguesias de Jolda (Madalena) e Rio Cabrão
"111160159",2009,0,0,0,0,7,50,0,União das freguesias de Padreiro (Salvador e Santa Cristina)
"111160160",2009,0,0,0,0,0,6,0,União das freguesias de Portela e Extremo
"111160161",2009,0,0,0,0,0,28,0,União das freguesias de São Jorge e Ermelo
"111160162",2009,0,0,0,0,1,15,0,União das freguesias de Souto e Tabaçô
"111160163",2009,2,2,1,0,2,39,0,União das freguesias de Távora (Santa Maria e São Vicente)
"111160164",2009,0,0,0,0,2,28,1,"União das freguesias de Vilela, São Cosme e São Damião e Sá"
"111160201",2009,0,0,0,0,0,1,0,Âncora
"111160205",2009,0,0,0,0,2,4,0,Argela
"111160209",2009,0,1,0,0,0,3,0,Dem
"111160211",2009,0,0,0,0,1,2,0,Lanhelas
"111160214",2009,0,0,0,0,0,4,0,Riba de Âncora
"111160215",2009,0,0,0,0,0,12,0,Seixas
"111160217",2009,0,0,0,0,0,1,0,Vila Praia de Âncora
"111160218",2009,0,1,0,0,0,6,0,Vilar de Mouros
"111160220",2009,0,0,1,0,0,0,0,Vile
"111160221",2009,0,1,0,0,0,2,0,"União das freguesias de Arga (Baixo, Cima e São João)"
"111160222",2009,0,0,1,0,0,4,0,União das freguesias de Caminha (Matriz) e Vilarelho
"111160223",2009,0,0,0,0,0,2,0,União das freguesias de Gondar e Orbacém
"111160224",2009,0,0,0,0,0,1,0,União das freguesias de Moledo e Cristelo
"111160225",2009,0,0,0,0,0,8,0,União das freguesias de Venade e Azevedo
"111160301",2009,0,0,0,0,0,109,0,Alvaredo
"111160304",2009,0,0,0,0,0,8,0,Cousso
"111160305",2009,0,0,0,0,0,13,0,Cristoval
"111160307",2009,0,0,0,0,0,3,0,Fiães
"111160308",2009,0,0,0,0,0,4,0,Gave
"111160311",2009,0,0,0,0,0,146,0,Paderne
"111160313",2009,0,0,0,0,0,64,0,Penso
"111160317",2009,0,0,0,0,0,42,0,São Paio
"111160319",2009,0,0,0,0,0,2,0,União das freguesias de Castro Laboreiro e Lamas de Mouro
"111160320",2009,0,0,0,0,0,41,0,União das freguesias de Chaviães e Paços
"111160321",2009,0,0,0,0,0,6,0,União das freguesias de Parada do Monte e Cubalhão
"111160322",2009,0,0,0,0,0,59,0,União das freguesias de Prado e Remoães
"111160323",2009,0,0,0,0,0,62,0,União das freguesias de Vila e Roussas
"111160401",2009,0,0,0,0,0,16,0,Abedim
"111160404",2009,0,0,0,0,0,64,0,Barbeita
"111160405",2009,0,0,0,0,0,21,0,Barroças e Taias
"111160406",2009,0,0,0,0,0,30,0,Bela
"111160407",2009,0,0,0,0,0,40,0,Cambeses
"111160410",2009,0,0,0,0,0,56,0,Lara
"111160411",2009,0,0,0,0,0,78,0,Longos Vales
"111160415",2009,0,0,0,1,0,42,0,Merufe
"111160418",2009,0,0,0,0,0,67,0,Moreira
"111160420",2009,0,0,0,0,0,96,0,Pias
"111160421",2009,0,0,0,0,0,74,0,Pinheiros
"111160422",2009,0,0,0,0,0,10,0,Podame
"111160423",2009,0,0,0,0,0,19,0,Portela
"111160424",2009,0,0,0,0,0,28,0,Riba de Mouro
"111160427",2009,0,0,0,0,0,35,0,Segude
"111160428",2009,0,0,0,0,0,36,0,Tangil
"111160431",2009,0,0,0,0,0,23,0,Trute
"111160434",2009,0,0,0,0,0,18,0,União das freguesias de Anhões e Luzio
"111160435",2009,0,0,0,0,0,53,0,União das freguesias de Ceivães e Badim
"111160436",2009,0,0,0,0,1,160,0,União das freguesias de Mazedo e Cortes
"111160437",2009,0,0,0,0,0,97,0,"União das freguesias de Messegães, Valadares e Sá"
"111160438",2009,0,0,0,1,1,157,0,União das freguesias de Monção e Troviscoso
"111160439",2009,0,0,0,0,0,27,0,"União das freguesias de Sago, Lordelo e Parada"
"111160440",2009,0,0,0,0,1,23,0,União das freguesias de Troporiz e Lapela
"111160501",2009,0,0,0,0,0,2,0,Agualonga
"111160503",2009,0,0,0,0,0,0,0,Castanheira
"111160505",2009,0,0,0,0,1,2,0,Coura
"111160507",2009,0,0,0,0,0,1,0,Cunha
"111160510",2009,0,0,0,0,0,1,0,Infesta
"111160513",2009,0,0,2,0,0,0,0,Mozelos
"111160514",2009,0,0,0,0,0,1,0,Padornelo
"111160515",2009,0,0,0,0,0,0,0,Parada
"111160519",2009,0,0,0,0,1,2,0,Romarigães
"111160520",2009,0,0,1,0,2,4,0,Rubiães
"111160521",2009,0,0,0,0,0,0,0,Vascões
"111160522",2009,0,0,0,0,0,2,0,União das freguesias de Bico e Cristelo
"111160523",2009,0,0,0,0,0,6,0,União das freguesias de Cossourado e Linhares
"111160524",2009,0,0,1,0,0,3,0,União das freguesias de Formariz e Ferreira
"111160525",2009,0,8,0,0,0,1,0,União das freguesias de Insalde e Porreiras
"111160526",2009,0,0,1,0,0,1,0,União das freguesias de Paredes de Coura e Resende
"111160601",2009,0,0,0,0,0,17,0,Azias
"111160602",2009,0,0,0,0,0,4,0,Boivães
"111160603",2009,0,0,0,0,0,34,0,Bravães
"111160604",2009,0,0,0,0,0,4,0,Britelo
"111160606",2009,10,10,0,0,0,9,0,Cuide de Vila Verde
"111160611",2009,0,0,0,0,0,42,0,Lavradas
"111160612",2009,0,0,0,0,1,5,0,Lindoso
"111160613",2009,0,0,1,0,4,19,0,Nogueira
"111160614",2009,0,1,0,0,6,26,0,Oleiros
"111160619",2009,0,0,0,0,0,13,0,Sampriz
"111160623",2009,0,0,0,0,0,6,0,Vade (São Pedro)
"111160624",2009,0,0,0,0,0,3,0,Vade (São Tomé)
"111160626",2009,0,1,0,0,0,44,0,"União das freguesias de Crasto, Ruivos e Grovelas"
"111160627",2009,0,0,0,0,0,10,0,"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil"
"111160628",2009,1,0,2,1,4,54,0,"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães"
"111160629",2009,0,0,0,0,0,13,0,União das freguesias de Touvedo (São Lourenço e Salvador)
"111160630",2009,0,0,0,0,0,5,0,União das freguesias de Vila Chã (São João Baptista e Santiago)
"111160701",2009,1,3,1,0,2,15,1,Anais
"111160703",2009,0,6,0,0,2,24,1,São Pedro d'Arcos
"111160704",2009,1,3,7,0,2,85,0,Arcozelo
"111160707",2009,1,5,0,0,1,22,0,Beiral do Lima
"111160708",2009,0,1,0,0,0,27,0,Bertiandos
"111160709",2009,0,1,0,0,3,1,0,Boalhosa
"111160710",2009,0,1,1,1,1,34,0,Brandara
"111160713",2009,1,3,0,0,2,38,0,Calheiros
"111160714",2009,2,3,3,4,3,69,0,Calvelo
"111160716",2009,2,7,7,0,1,69,0,Correlhã
"111160717",2009,0,7,0,0,0,35,0,Estorãos
"111160718",2009,5,2,9,2,16,45,0,Facha
