"NutsID","year","Cereals","Dried pulses","Temporary grasses and grazings","Fodder plants","Potatoes","Sugarbeets","Industrial crops","Fresh vegetables","Flowers and ornamental plants","Other temporary crops"
"111160101",1999,15,1,19,17,1,0,0,0,0,2
"111160102",1999,26,8,14,34,2,0,0,0,0,1
"111160104",1999,26,2,9,33,1,0,0,0,0,2
"111160105",1999,15,4,30,18,2,0,0,0,0,1
"111160106",1999,60,16,0,79,5,0,0,0,0,3
"111160108",1999,34,3,4,27,3,0,0,0,0,0
"111160109",1999,25,7,10,18,2,0,0,0,0,8
"111160113",1999,19,4,0,26,7,0,0,0,0,0
"111160115",1999,81,12,55,77,5,0,0,0,0,18
"111160121",1999,23,3,0,20,3,0,0,0,0,0
"111160122",1999,38,4,29,32,1,0,0,1,0,8
"111160123",1999,25,7,14,14,1,0,0,0,0,17
"111160124",1999,17,2,2,44,0,0,0,0,0,4
"111160125",1999,23,1,16,31,5,0,0,0,0,3
"111160128",1999,30,8,26,57,3,0,0,0,0,5
"111160130",1999,53,13,87,64,4,0,0,0,0,8
"111160131",1999,34,10,31,39,3,0,0,0,0,13
"111160133",1999,41,9,58,65,4,0,0,0,0,9
"111160142",1999,26,4,15,29,4,0,0,0,0,0
"111160144",1999,32,9,35,63,7,0,0,0,0,1
"111160145",1999,33,13,0,46,5,0,0,0,0,5
"111160146",1999,30,6,0,36,5,0,0,0,0,1
"111160149",1999,61,13,22,67,3,0,0,0,0,11
"111160152",1999,50,11,12,65,3,0,0,1,0,6
"111160153",1999,31,6,11,34,2,0,0,0,0,5
"111160154",1999,20,3,16,24,2,0,0,0,0,5
"111160155",1999,40,7,37,52,1,0,0,0,0,13
"111160156",1999,53,19,50,67,4,0,0,0,0,10
"111160157",1999,47,4,36,46,1,0,0,1,0,6
"111160158",1999,59,7,13,66,7,0,0,0,0,1
"111160159",1999,32,3,6,33,3,0,0,0,0,0
"111160160",1999,32,6,13,43,4,0,0,2,0,2
"111160161",1999,48,9,23,39,3,0,0,0,0,18
"111160162",1999,58,7,38,57,2,0,0,0,0,12
"111160163",1999,79,9,52,77,7,0,0,1,0,5
"111160164",1999,61,7,69,54,4,0,0,0,3,23
"111160201",1999,23,1,1,42,2,0,0,0,0,0
"111160205",1999,24,1,2,49,2,0,0,0,0,8
"111160209",1999,24,2,0,21,3,0,0,0,0,7
"111160211",1999,11,1,0,5,2,0,0,0,0,1
"111160214",1999,39,4,0,53,5,0,0,0,0,7
"111160215",1999,7,0,0,8,1,0,0,0,1,0
"111160217",1999,13,2,0,28,1,0,0,0,2,0
"111160218",1999,17,1,1,65,3,0,0,0,1,3
"111160220",1999,6,0,0,33,1,0,0,0,0,0
"111160221",1999,27,3,0,30,2,0,0,0,0,2
"111160222",1999,15,0,0,21,1,0,0,0,0,0
"111160223",1999,32,4,0,33,4,0,0,0,0,7
"111160224",1999,15,1,0,17,1,0,0,0,0,0
"111160225",1999,45,2,4,70,4,0,0,0,0,1
"111160301",1999,26,1,7,32,4,0,0,0,0,0
"111160304",1999,20,7,14,32,5,0,0,0,0,0
"111160305",1999,12,1,1,21,3,0,0,0,0,0
"111160307",1999,13,4,3,22,4,0,0,0,0,0
"111160308",1999,17,4,1,23,2,0,0,0,0,1
"111160311",1999,35,7,13,37,6,0,0,0,0,6
"111160313",1999,12,1,7,19,3,0,0,0,0,0
"111160317",1999,29,8,12,46,6,0,0,0,0,0
"111160319",1999,24,1,0,25,26,0,0,0,0,0
"111160320",1999,24,4,2,37,6,0,0,0,0,0
"111160321",1999,38,10,14,58,11,0,0,0,0,0
"111160322",1999,13,2,3,14,2,0,0,0,0,1
"111160323",1999,22,3,4,35,6,0,0,0,0,0
"111160401",1999,21,4,22,28,4,0,0,0,0,3
"111160404",1999,35,2,8,48,3,0,0,0,0,3
"111160405",1999,16,4,7,22,3,0,0,0,0,2
"111160406",1999,32,2,9,40,3,0,0,0,0,2
"111160407",1999,21,3,6,24,2,0,0,0,0,0
"111160410",1999,12,2,0,17,3,0,0,0,0,1
"111160411",1999,72,5,34,72,5,0,0,0,0,6
"111160415",1999,143,22,44,204,12,0,0,1,0,0
"111160418",1999,40,4,1,52,5,0,0,0,0,1
"111160420",1999,62,6,0,104,6,0,0,0,0,7
"111160421",1999,12,2,13,21,1,0,0,0,0,0
