Nuts_region_perm,NutsID,region_name,Perm_crop,Area_1989,Area_1999,Area_2009,Area_2019
111160101_Aboim das Choças_Citrus plantations,111160101,Aboim das Choças,Citrus plantations,0,0,0,0
111160101_Aboim das Choças_Olive plantations,111160101,Aboim das Choças,Olive plantations,0,0,0,0
111160101_Aboim das Choças_Fresh fruit plantations (excluding citrus plantations),111160101,Aboim das Choças,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160101_Aboim das Choças_Fruit plantations (subtropical climate zones),111160101,Aboim das Choças,Fruit plantations (subtropical climate zones),0,0,0,0
111160101_Aboim das Choças_Nuts plantations,111160101,Aboim das Choças,Nuts plantations,0,0,0,0
111160101_Aboim das Choças_Vineyards,111160101,Aboim das Choças,Vineyards,28,14,9,12
111160101_Aboim das Choças_Other permanent crops,111160101,Aboim das Choças,Other permanent crops,0,0,0,0
111160102_Aguiã_Citrus plantations,111160102,Aguiã,Citrus plantations,0,0,0,0
111160102_Aguiã_Olive plantations,111160102,Aguiã,Olive plantations,1,0,0,1
111160102_Aguiã_Fresh fruit plantations (excluding citrus plantations),111160102,Aguiã,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160102_Aguiã_Fruit plantations (subtropical climate zones),111160102,Aguiã,Fruit plantations (subtropical climate zones),0,0,0,0
111160102_Aguiã_Nuts plantations,111160102,Aguiã,Nuts plantations,0,0,0,0
111160102_Aguiã_Vineyards,111160102,Aguiã,Vineyards,14,20,17,15
111160102_Aguiã_Other permanent crops,111160102,Aguiã,Other permanent crops,0,0,0,0
111160104_Ázere_Citrus plantations,111160104,Ázere,Citrus plantations,0,0,0,1
111160104_Ázere_Olive plantations,111160104,Ázere,Olive plantations,0,0,0,0
111160104_Ázere_Fresh fruit plantations (excluding citrus plantations),111160104,Ázere,Fresh fruit plantations (excluding citrus plantations),1,0,0,2
111160104_Ázere_Fruit plantations (subtropical climate zones),111160104,Ázere,Fruit plantations (subtropical climate zones),0,0,0,0
111160104_Ázere_Nuts plantations,111160104,Ázere,Nuts plantations,0,0,0,0
111160104_Ázere_Vineyards,111160104,Ázere,Vineyards,12,8,5,7
111160104_Ázere_Other permanent crops,111160104,Ázere,Other permanent crops,0,0,0,0
111160105_Cabana Maior_Citrus plantations,111160105,Cabana Maior,Citrus plantations,0,0,0,0
111160105_Cabana Maior_Olive plantations,111160105,Cabana Maior,Olive plantations,1,0,0,0
111160105_Cabana Maior_Fresh fruit plantations (excluding citrus plantations),111160105,Cabana Maior,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160105_Cabana Maior_Fruit plantations (subtropical climate zones),111160105,Cabana Maior,Fruit plantations (subtropical climate zones),0,0,0,0
111160105_Cabana Maior_Nuts plantations,111160105,Cabana Maior,Nuts plantations,0,0,0,0
111160105_Cabana Maior_Vineyards,111160105,Cabana Maior,Vineyards,5,6,1,2
111160105_Cabana Maior_Other permanent crops,111160105,Cabana Maior,Other permanent crops,0,0,0,0
111160106_Cabreiro_Citrus plantations,111160106,Cabreiro,Citrus plantations,0,0,0,0
111160106_Cabreiro_Olive plantations,111160106,Cabreiro,Olive plantations,0,0,0,0
111160106_Cabreiro_Fresh fruit plantations (excluding citrus plantations),111160106,Cabreiro,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160106_Cabreiro_Fruit plantations (subtropical climate zones),111160106,Cabreiro,Fruit plantations (subtropical climate zones),0,0,0,0
111160106_Cabreiro_Nuts plantations,111160106,Cabreiro,Nuts plantations,0,0,0,0
111160106_Cabreiro_Vineyards,111160106,Cabreiro,Vineyards,22,17,7,3
111160106_Cabreiro_Other permanent crops,111160106,Cabreiro,Other permanent crops,0,0,0,0
111160108_Cendufe_Citrus plantations,111160108,Cendufe,Citrus plantations,0,0,0,0
111160108_Cendufe_Olive plantations,111160108,Cendufe,Olive plantations,2,0,0,0
111160108_Cendufe_Fresh fruit plantations (excluding citrus plantations),111160108,Cendufe,Fresh fruit plantations (excluding citrus plantations),1,0,0,0
111160108_Cendufe_Fruit plantations (subtropical climate zones),111160108,Cendufe,Fruit plantations (subtropical climate zones),0,0,0,0
111160108_Cendufe_Nuts plantations,111160108,Cendufe,Nuts plantations,0,0,2,4
111160108_Cendufe_Vineyards,111160108,Cendufe,Vineyards,19,17,11,9
111160108_Cendufe_Other permanent crops,111160108,Cendufe,Other permanent crops,0,0,0,0
111160109_Couto_Citrus plantations,111160109,Couto,Citrus plantations,0,0,0,0
111160109_Couto_Olive plantations,111160109,Couto,Olive plantations,1,0,0,0
111160109_Couto_Fresh fruit plantations (excluding citrus plantations),111160109,Couto,Fresh fruit plantations (excluding citrus plantations),0,0,0,0
111160109_Couto_Fruit plantations (subtropical climate zones),111160109,Couto,Fruit plantations (subtropical climate zones),0,0,0,0
111160109_Couto_Nuts plantations,111160109,Couto,Nuts plantations,0,0,0,1
111160109_Couto_Vineyards,111160109,Couto,Vineyards,22,14,3,7
