Nuts_region_temp,NutsID,region_name,Temp_crop,Area_1989,Area_1999,Area_2009,Area_2019
111160101_Aboim das Choças_Cereals,111160101,Aboim das Choças,Cereals,43,15,8,6
111160101_Aboim das Choças_Dried pulses,111160101,Aboim das Choças,Dried pulses,18,1,1,0
111160101_Aboim das Choças_Temporary grasses and grazings,111160101,Aboim das Choças,Temporary grasses and grazings,60,19,19,0
111160101_Aboim das Choças_Fodder plants,111160101,Aboim das Choças,Fodder plants,60,17,12,5
111160101_Aboim das Choças_Potatoes,111160101,Aboim das Choças,Potatoes,3,1,1,0
111160101_Aboim das Choças_Sugarbeets,111160101,Aboim das Choças,Sugarbeets,0,0,0,0
111160101_Aboim das Choças_Industrial crops,111160101,Aboim das Choças,Industrial crops,0,0,0,0
111160101_Aboim das Choças_Fresh vegetables,111160101,Aboim das Choças,Fresh vegetables,0,0,0,0
111160101_Aboim das Choças_Flowers and ornamental plants,111160101,Aboim das Choças,Flowers and ornamental plants,0,0,0,0
111160101_Aboim das Choças_Other temporary crops,111160101,Aboim das Choças,Other temporary crops,9,2,0,0
111160102_Aguiã_Cereals,111160102,Aguiã,Cereals,31,26,24,10
111160102_Aguiã_Dried pulses,111160102,Aguiã,Dried pulses,27,8,0,0
111160102_Aguiã_Temporary grasses and grazings,111160102,Aguiã,Temporary grasses and grazings,3,14,19,0
111160102_Aguiã_Fodder plants,111160102,Aguiã,Fodder plants,41,34,29,10
111160102_Aguiã_Potatoes,111160102,Aguiã,Potatoes,5,2,3,0
111160102_Aguiã_Sugarbeets,111160102,Aguiã,Sugarbeets,0,0,0,0
111160102_Aguiã_Industrial crops,111160102,Aguiã,Industrial crops,0,0,0,0
111160102_Aguiã_Fresh vegetables,111160102,Aguiã,Fresh vegetables,0,0,0,0
111160102_Aguiã_Flowers and ornamental plants,111160102,Aguiã,Flowers and ornamental plants,0,0,0,0
111160102_Aguiã_Other temporary crops,111160102,Aguiã,Other temporary crops,15,1,0,0
111160104_Ázere_Cereals,111160104,Ázere,Cereals,38,26,15,5
111160104_Ázere_Dried pulses,111160104,Ázere,Dried pulses,32,2,0,0
111160104_Ázere_Temporary grasses and grazings,111160104,Ázere,Temporary grasses and grazings,46,9,14,0
111160104_Ázere_Fodder plants,111160104,Ázere,Fodder plants,57,33,15,3
111160104_Ázere_Potatoes,111160104,Ázere,Potatoes,1,1,1,0
111160104_Ázere_Sugarbeets,111160104,Ázere,Sugarbeets,0,0,0,0
111160104_Ázere_Industrial crops,111160104,Ázere,Industrial crops,0,0,0,0
111160104_Ázere_Fresh vegetables,111160104,Ázere,Fresh vegetables,0,0,0,0
111160104_Ázere_Flowers and ornamental plants,111160104,Ázere,Flowers and ornamental plants,0,0,0,0
111160104_Ázere_Other temporary crops,111160104,Ázere,Other temporary crops,17,2,1,0
111160105_Cabana Maior_Cereals,111160105,Cabana Maior,Cereals,43,15,2,0
111160105_Cabana Maior_Dried pulses,111160105,Cabana Maior,Dried pulses,19,4,0,0
111160105_Cabana Maior_Temporary grasses and grazings,111160105,Cabana Maior,Temporary grasses and grazings,23,30,0,0
111160105_Cabana Maior_Fodder plants,111160105,Cabana Maior,Fodder plants,69,18,2,0
111160105_Cabana Maior_Potatoes,111160105,Cabana Maior,Potatoes,3,2,1,0
111160105_Cabana Maior_Sugarbeets,111160105,Cabana Maior,Sugarbeets,0,0,0,0
111160105_Cabana Maior_Industrial crops,111160105,Cabana Maior,Industrial crops,0,0,0,0
111160105_Cabana Maior_Fresh vegetables,111160105,Cabana Maior,Fresh vegetables,0,0,0,0
111160105_Cabana Maior_Flowers and ornamental plants,111160105,Cabana Maior,Flowers and ornamental plants,0,0,0,0
111160105_Cabana Maior_Other temporary crops,111160105,Cabana Maior,Other temporary crops,5,1,0,0
111160106_Cabreiro_Cereals,111160106,Cabreiro,Cereals,175,60,32,9
111160106_Cabreiro_Dried pulses,111160106,Cabreiro,Dried pulses,89,16,7,0
111160106_Cabreiro_Temporary grasses and grazings,111160106,Cabreiro,Temporary grasses and grazings,7,0,7,30
