n,region_name,Temp_crop,Area_1989,Area_1999,Area_2009,Area_2019,Area_freg,average_crop_area,perc_area
1,Pias,Olive plantations,4753,5350,7075,8169,1112.11,6336.75,5.70
2,Carvalhal,Fresh fruit plantations (excluding citrus plantations),1339,1094,851,1025,257.98,1077.25,4.18
3,São João Baptista,Olive plantations,1395,1450,1530,1567,456.05,1485.5,3.26
4,Alvalade,Olive plantations,202,331,1940,3317,534.17,1447.5,2.71
5,Carvalhal,Vineyards,867,572,289,215,257.98,485.75,1.88
6,Odivelas,Olive plantations,84,81,1622,1356,504.45,785.75,1.56
7,Santa Comba,Vineyards,249,236,232,194,149.91,227.75,1.52
8,São Mamede Sé São Pedro e Santo Antão,Olive plantations,573,47,0,39,113.15,164.75,1.46
9,Rio de Moinhos,Olive plantations,577,450,422,439,359.13,472,1.31
10,Pinhão,Vineyards,486,176,237,657,299.52,389,1.30
11,Lamas,Nuts plantations,84,156,161,235,125.35,159,1.27
12,Rio de Moinhos,Vineyards,285,486,437,561,359.13,442.25,1.23
13,Carvalhal,Fresh fruit plantations (excluding citrus plantations),1339,1094,851,1025,1002.02,1077.25,1.08
14,São João Baptista,Olive plantations,544,501,634,218,456.05,474.25,1.04
15,Cabanelas,Olive plantations,383,673,751,917,674.03,681,1.01
