Dicofre,Freguesia,Concelho,Distrito,TAA,AREA_EA_Ha,AREA_T_Ha,Des_Simpli
"081504",Sagres,VILA DO BISPO,FARO,ÁREA PRINCIPAL,3431.83,3436.91,Sagres
"080508",União das freguesias de Faro (Sé e São Pedro),FARO,FARO,ÁREA PRINCIPAL,7475.31,7475.31,Faro (Sé e São Pedro)
"081005",Quelfes,OLHÃO,FARO,ÁREA PRINCIPAL,2819.75,2819.75,Quelfes
"081003",Olhão,OLHÃO,FARO,ÁREA PRINCIPAL,1224.65,1224.65,Olhão
"080506",Montenegro,FARO,FARO,ÁREA PRINCIPAL,2119.68,2119.68,Montenegro
"081004",Pechão,OLHÃO,FARO,ÁREA PRINCIPAL,1978.78,1978.78,Pechão
"080801",Almancil,LOULÉ,FARO,ÁREA PRINCIPAL,6229.95,6229.95,Almancil
"081408",Santa Luzia,TAVIRA,FARO,ÁREA PRINCIPAL,850.11,850.11,Santa Luzia
"080805",Quarteira,LOULÉ,FARO,ÁREA PRINCIPAL,3815.69,3815.69,Quarteira
"080106",Albufeira e Olhos de Água,ALBUFEIRA,FARO,ÁREA PRINCIPAL,4116.66,4117.69,Albufeira e Olhos de Água
"080703",Luz,LAGOS,FARO,ÁREA PRINCIPAL,2178.28,2178.31,Luz
"081006",União das freguesias de Moncarapacho e Fuseta,OLHÃO,FARO,ÁREA PRINCIPAL,7063.19,7063.19,Moncarapacho e Fuseta
"081303",Armação de Pêra,SILVES,FARO,ÁREA PRINCIPAL,799.01,799.01,Armação de Pêra
"080602",Ferragudo,LAGOA,FARO,ÁREA PRINCIPAL,540.56,540.95,Ferragudo
"080507",União das freguesias de Conceição e Estoi,FARO,FARO,ÁREA PRINCIPAL,6840.15,6840.15,Conceição e Estoi
"081501",Barão de São Miguel,VILA DO BISPO,FARO,ÁREA PRINCIPAL,1486.92,1486.92,Barão de São Miguel
"080102",Guia,ALBUFEIRA,FARO,ÁREA PRINCIPAL,2680.02,2680.02,Guia
"080503",Santa Bárbara de Nexe,FARO,FARO,ÁREA PRINCIPAL,3821.64,3821.64,Santa Bárbara de Nexe
"080608",União das freguesias de Lagoa e Carvoeiro,LAGOA,FARO,ÁREA PRINCIPAL,3913.04,3913.20,Lagoa e Carvoeiro
"080104",Ferreiras,ALBUFEIRA,FARO,ÁREA PRINCIPAL,2012.54,2012.54,Ferreiras
