"NutsID","year","Citrus plantations","Olive plantations","Fresh fruit plantations (excluding citrus plantations)","Fruit plantations (subtropical climate zones)","Nuts plantations","Vineyards","Other permanent crops","region_name"
"111160101",2019,0,0,0,0,0,12,0,Aboim das Choças
"111160102",2019,0,1,0,0,0,15,0,Aguiã
"111160104",2019,1,0,2,0,0,7,0,Ázere
"111160105",2019,0,0,0,0,0,2,0,Cabana Maior
"111160106",2019,0,0,0,0,0,3,0,Cabreiro
"111160108",2019,0,0,0,0,4,9,0,Cendufe
"111160109",2019,0,0,0,0,1,7,0,Couto
"111160113",2019,0,0,0,0,0,2,0,Gavieira
"111160115",2019,0,0,4,0,0,25,0,Gondoriz
"111160121",2019,0,1,0,0,1,8,0,Miranda
"111160122",2019,0,0,0,0,0,5,0,Monte Redondo
"111160123",2019,0,0,2,0,4,26,0,Oliveira
"111160124",2019,0,0,0,0,3,53,2,Paçô
"111160125",2019,0,0,0,0,0,1,0,Padroso
"111160128",2019,0,0,0,0,1,4,0,Prozelo
"111160130",2019,0,0,0,0,2,7,0,Rio Frio
"111160131",2019,0,0,0,0,21,5,0,Rio de Moinhos
"111160133",2019,0,0,1,0,3,14,0,Sabadim
"111160142",2019,0,0,0,0,1,24,0,Jolda (São Paio)
"111160144",2019,0,0,0,0,0,1,0,Senharei
"111160145",2019,0,0,0,0,0,1,0,Sistelo
"111160146",2019,0,0,1,0,0,8,0,Soajo
"111160149",2019,0,0,0,0,3,16,0,Vale
"111160152",2019,0,0,2,0,0,16,0,União das freguesias de Alvora e Loureda
"111160153",2019,0,1,0,1,3,33,0,União das freguesias de Arcos de Valdevez (São Paio) e Giela
"111160154",2019,0,0,0,0,3,5,0,"União das freguesias de Arcos de Valdevez (Salvador), Vila Fonche e Parada"
"111160155",2019,0,0,0,0,1,7,0,União das freguesias de Eiras e Mei
"111160156",2019,0,0,2,0,2,13,0,União das freguesias de Grade e Carralcova
"111160157",2019,0,1,5,0,3,12,0,União das freguesias de Guilhadeses e Santar
"111160158",2019,0,2,0,1,6,23,0,União das freguesias de Jolda (Madalena) e Rio Cabrão
"111160159",2019,0,1,0,0,10,16,0,União das freguesias de Padreiro (Salvador e Santa Cristina)
"111160160",2019,0,0,0,0,2,1,0,União das freguesias de Portela e Extremo
"111160161",2019,0,1,1,0,0,26,0,União das freguesias de São Jorge e Ermelo
"111160162",2019,0,1,2,0,6,12,0,União das freguesias de Souto e Tabaçô
"111160163",2019,1,1,3,0,9,19,0,União das freguesias de Távora (Santa Maria e São Vicente)
"111160164",2019,0,0,1,0,1,34,0,"União das freguesias de Vilela, São Cosme e São Damião e Sá"
"111160201",2019,0,0,0,0,0,1,0,Âncora
"111160205",2019,0,0,0,0,0,1,0,Argela
"111160209",2019,0,0,0,0,0,2,0,Dem
"111160211",2019,0,0,0,0,0,0,0,Lanhelas
"111160214",2019,0,0,1,0,15,3,0,Riba de Âncora
"111160215",2019,0,1,0,0,0,3,0,Seixas
"111160217",2019,0,0,0,0,0,3,0,Vila Praia de Âncora
"111160218",2019,0,4,1,0,10,4,0,Vilar de Mouros
"111160220",2019,0,0,0,0,0,1,0,Vile
"111160221",2019,0,1,0,0,0,1,0,"União das freguesias de Arga (Baixo, Cima e São João)"
"111160222",2019,0,0,1,0,0,1,0,União das freguesias de Caminha (Matriz) e Vilarelho
"111160223",2019,0,0,0,0,0,4,0,União das freguesias de Gondar e Orbacém
"111160224",2019,0,0,0,0,0,0,0,União das freguesias de Moledo e Cristelo
"111160225",2019,0,0,2,0,1,7,0,União das freguesias de Venade e Azevedo
"111160301",2019,0,0,0,0,0,140,0,Alvaredo
"111160304",2019,0,0,0,0,0,7,0,Cousso
"111160305",2019,0,0,0,0,0,16,0,Cristoval
"111160307",2019,0,0,0,0,1,2,0,Fiães
"111160308",2019,0,0,0,0,2,5,0,Gave
"111160311",2019,0,0,2,0,0,190,0,Paderne
"111160313",2019,0,0,0,0,0,83,0,Penso
"111160317",2019,0,0,1,0,0,58,0,São Paio
"111160319",2019,0,0,1,0,2,3,0,União das freguesias de Castro Laboreiro e Lamas de Mouro
"111160320",2019,0,0,1,0,0,50,0,União das freguesias de Chaviães e Paços
"111160321",2019,0,0,0,0,0,3,0,União das freguesias de Parada do Monte e Cubalhão
"111160322",2019,0,0,1,0,0,82,0,União das freguesias de Prado e Remoães
"111160323",2019,0,0,2,0,0,67,0,União das freguesias de Vila e Roussas
"111160401",2019,0,0,0,0,0,13,0,Abedim
"111160404",2019,0,0,2,0,0,79,0,Barbeita
"111160405",2019,0,0,0,0,0,22,0,Barroças e Taias
"111160406",2019,0,0,1,0,0,50,0,Bela
"111160407",2019,0,0,6,0,0,64,0,Cambeses
"111160410",2019,0,0,0,0,0,60,0,Lara
"111160411",2019,0,0,2,0,0,149,0,Longos Vales
"111160415",2019,0,0,4,0,0,68,0,Merufe
"111160418",2019,0,0,0,0,0,156,0,Moreira
"111160420",2019,0,0,5,0,0,169,0,Pias
"111160421",2019,0,0,0,0,0,60,0,Pinheiros
"111160422",2019,0,0,0,0,0,25,0,Podame
"111160423",2019,0,0,0,0,0,28,0,Portela
"111160424",2019,0,0,1,0,3,25,0,Riba de Mouro
"111160427",2019,0,0,0,0,0,47,0,Segude
"111160428",2019,0,0,0,0,1,36,0,Tangil
"111160431",2019,0,0,0,0,0,21,0,Trute
"111160434",2019,0,0,0,0,0,4,0,União das freguesias de Anhões e Luzio
"111160435",2019,0,0,6,0,0,72,0,União das freguesias de Ceivães e Badim
"111160436",2019,5,0,6,0,0,183,0,União das freguesias de Mazedo e Cortes
"111160437",2019,0,0,0,0,0,111,0,"União das freguesias de Messegães, Valadares e Sá"
"111160438",2019,0,0,0,2,0,175,0,União das freguesias de Monção e Troviscoso
"111160439",2019,0,0,1,0,0,28,0,"União das freguesias de Sago, Lordelo e Parada"
"111160440",2019,0,0,0,0,0,33,0,União das freguesias de Troporiz e Lapela
"111160501",2019,0,0,0,0,0,0,0,Agualonga
"111160503",2019,0,0,0,0,0,0,0,Castanheira
"111160505",2019,0,0,0,1,0,1,0,Coura
"111160507",2019,0,0,0,0,0,0,0,Cunha
"111160510",2019,0,0,0,0,1,2,0,Infesta
"111160513",2019,0,0,0,0,0,0,0,Mozelos
"111160514",2019,0,0,0,0,0,1,0,Padornelo
"111160515",2019,0,0,0,0,1,1,0,Parada
"111160519",2019,0,0,0,0,0,0,35,Romarigães
"111160520",2019,0,0,0,0,0,1,0,Rubiães
"111160521",2019,0,0,0,0,0,0,0,Vascões
"111160522",2019,0,0,0,0,2,1,0,União das freguesias de Bico e Cristelo
"111160523",2019,0,0,8,0,0,2,0,União das freguesias de Cossourado e Linhares
"111160524",2019,0,0,2,0,7,3,0,União das freguesias de Formariz e Ferreira
"111160525",2019,0,0,1,0,0,0,0,União das freguesias de Insalde e Porreiras
"111160526",2019,0,0,0,0,0,1,0,União das freguesias de Paredes de Coura e Resende
"111160601",2019,0,0,1,0,1,3,0,Azias
"111160602",2019,0,0,0,0,4,7,0,Boivães
"111160603",2019,0,1,2,0,5,36,0,Bravães
"111160604",2019,0,0,0,0,0,4,0,Britelo
"111160606",2019,0,0,3,0,0,5,0,Cuide de Vila Verde
"111160611",2019,0,7,3,5,3,38,0,Lavradas
"111160612",2019,0,0,0,0,0,6,0,Lindoso
"111160613",2019,0,0,0,0,3,18,0,Nogueira
"111160614",2019,1,0,0,0,8,48,0,Oleiros
"111160619",2019,0,0,1,0,2,13,0,Sampriz
"111160623",2019,0,0,0,0,0,16,0,Vade (São Pedro)
"111160624",2019,2,0,2,0,3,6,0,Vade (São Tomé)
"111160626",2019,0,0,4,0,15,64,0,"União das freguesias de Crasto, Ruivos e Grovelas"
"111160627",2019,0,0,2,0,0,8,0,"União das freguesias de Entre Ambos-os-Rios, Ermida e Germil"
"111160628",2019,0,0,5,1,8,54,0,"União das freguesias de Ponte da Barca, Vila Nova de Muía e Paço Vedro de Magalhães"
"111160629",2019,0,0,1,0,1,11,0,União das freguesias de Touvedo (São Lourenço e Salvador)
"111160630",2019,0,1,0,0,0,3,0,União das freguesias de Vila Chã (São João Baptista e Santiago)
"111160701",2019,1,1,1,0,6,20,0,Anais
"111160703",2019,0,2,2,0,4,36,0,São Pedro d'Arcos
"111160704",2019,2,5,2,0,22,78,0,Arcozelo
"111160707",2019,1,5,0,3,8,35,0,Beiral do Lima
"111160708",2019,0,0,0,0,0,37,0,Bertiandos
"111160709",2019,0,0,0,0,0,0,0,Boalhosa
"111160710",2019,0,0,1,0,2,29,0,Brandara
"111160713",2019,3,3,2,0,4,56,0,Calheiros
"111160714",2019,2,3,3,3,6,40,2,Calvelo
"111160716",2019,3,6,9,3,2,81,0,Correlhã
"111160717",2019,0,4,0,0,13,66,0,Estorãos
"111160718",2019,3,7,8,1,29,60,0,Facha
"111160719",2019,0,7,2,0,1,28,0,Feitosa
"111160721",2019,0,1,0,1,0,23,0,Fontão
"111160724",2019,1,1,2,0,1,11,0,Friastelas
"111160726",2019,1,1,10,0,9,32,0,Gandra
"111160727",2019,0,2,0,0,1,24,0,Gemieira
"111160728",2019,0,5,0,0,11,38,0,Gondufe
"111160729",2019,0,1,0,0,2,12,0,Labruja
"111160734",2019,1,3,1,0,7,26,0,Poiares
"111160737",2019,4,13,9,6,34,113,0,Refóios do Lima
"111160739",2019,2,8,6,0,10,35,0,Ribeira
"111160740",2019,1,1,2,0,4,9,0,Sá
"111160742",2019,0,1,0,0,0,15,0,Santa Comba
"111160743",2019,0,2,1,0,1,14,0,Santa Cruz do Lima
"111160744",2019,1,5,1,0,2,10,0,Rebordões (Santa Maria)
"111160745",2019,1,1,3,3,1,12,0,Seara
"111160746",2019,0,1,0,0,2,5,0,Serdedelo
"111160747",2019,1,4,2,2,9,20,0,Rebordões (Souto)
"111160750",2019,2,1,1,0,0,25,0,Vitorino das Donas
"111160752",2019,0,4,1,1,3,21,0,Arca e Ponte de Lima
"111160753",2019,0,1,2,0,7,64,0,"Ardegão, Freixo e Mato"
"111160754",2019,1,1,6,0,16,27,0,Associação de freguesias do Vale do Neiva
"111160755",2019,1,0,2,0,12,40,0,Bárrio e Cepões
"111160756",2019,0,4,0,0,5,11,0,Cabaços e Fojo Lobal
"111160757",2019,2,5,1,0,12,49,0,Cabração e Moreira do Lima
"111160758",2019,1,5,8,1,11,61,2,Fornelos e Queijada
"111160759",2019,0,1,0,0,0,2,0,"Labrujó, Rendufe e Vilar do Monte"
"111160760",2019,1,4,3,0,8,31,0,Navió e Vitorino dos Piães
"111160802",2019,0,0,0,0,1,12,0,Boivão
"111160803",2019,0,1,0,0,0,9,0,Cerdal
"111160805",2019,0,0,0,0,0,24,0,Fontoura
"111160806",2019,0,0,0,0,1,11,0,Friestas
"111160808",2019,0,0,1,0,2,28,0,Ganfei
"111160812",2019,0,0,0,38,0,3,0,São Pedro da Torre
"111160816",2019,0,0,0,1,0,12,0,Verdoejo
"111160817",2019,0,0,1,0,0,15,0,União das freguesias de Gandra e Taião
"111160818",2019,0,0,0,0,0,15,0,União das freguesias de Gondomil e Sanfins
"111160819",2019,1,0,1,1,2,49,1,União das freguesias de São Julião e Silva
"111160820",2019,0,0,2,0,7,13,0,"União das freguesias de Valença, Cristelo Covo e Arão"
"111160901",2019,0,0,0,0,0,0,0,Afife
"111160902",2019,1,0,4,0,1,7,0,Alvarães
"111160903",2019,0,2,0,0,1,2,0,Amonde
"111160904",2019,0,0,0,0,1,9,0,Anha
"111160905",2019,0,0,0,0,0,0,0,Areosa
"111160908",2019,0,0,0,0,0,3,0,Carreço
"111160910",2019,0,0,1,0,0,1,0,Castelo do Neiva
"111160911",2019,1,0,4,0,0,2,0,Darque
"111160914",2019,0,0,0,0,0,3,0,Freixieiro de Soutelo
"111160915",2019,1,3,2,0,5,9,0,Lanheses
"111160920",2019,0,1,1,0,0,4,0,Montaria
"111160922",2019,1,2,1,6,4,6,0,Mujães
"111160923",2019,1,0,1,3,0,1,0,São Romão de Neiva
"111160925",2019,1,0,1,0,0,11,0,Outeiro
"111160926",2019,1,0,3,2,5,17,0,Perre
"111160928",2019,2,1,2,0,0,12,0,Santa Marta de Portuzelo
"111160935",2019,0,0,0,1,0,13,0,Vila Franca
"111160938",2019,1,2,3,1,0,2,0,Vila de Punhe
"111160940",2019,0,0,0,0,0,5,0,Chafé
"111160941",2019,4,4,5,1,1,17,0,União das freguesias de Barroselas e Carvoeiro
"111160942",2019,1,2,2,2,0,49,0,União das freguesias de Cardielos e Serreleis
"111160943",2019,2,8,6,0,8,146,0,"União das freguesias de Geraz do Lima (Santa Maria, Santa Leocádia e Moreira) e Deão"
"111160944",2019,1,0,2,0,0,7,0,União das freguesias de Mazarefes e Vila Fria
"111160945",2019,1,1,3,18,5,25,0,"União das freguesias de Nogueira, Meixedo e Vilar de Murteda"
"111160946",2019,2,5,3,1,1,40,0,"União das freguesias de Subportela, Deocriste e Portela Susã"
"111160947",2019,1,2,2,2,2,35,0,União das freguesias de Torre e Vila Mou
"111160948",2019,1,0,0,0,1,5,0,União das freguesias de Viana do Castelo (Santa Maria Maior e Monserrate) e Meadela
"111161003",2019,0,0,1,0,4,6,0,Cornes
"111161004",2019,0,0,6,0,82,2,0,Covas
"111161006",2019,0,0,0,0,0,5,0,Gondarém
